gene_name CTL_gene_expr1 CTL_gene_expr2 M3KD_gene_expr1 M3KD_gene_expr2 untreated_IP1 untreated_IP2 treated_IP1 treated_IP2
RPL14 14117 12283 11079 11264 0.18 0.18 0.17 0.2
LINC00473 4006 3354 2698 2768 1.17 1.18 1.21 1.17
TRIM41 1140 1049 1392 1409 0.53 0.46 0.23 0.16
ACVR1B 456 404 523 533 2.79 2.6 1.97 1.82
SEC22C 1078 913 881 778 2.97 2.7 3.59 3.78
SLC16A6 543 450 331 357 1.57 1.47 1.59 1.54
BOD1 1124 955 816 824 1.43 1.6 1.76 1.82
MSANTD3 364 334 113 123 0.68 0.79 0.91 0.72
DYRK1B 338 283 764 810 2.39 1.97 1.01 1.23
TMSB10 11210 9759 12435 12513 0.66 0.62 0.21 0.22
ELMSAN1 1234 1076 1718 1630 0.07 0.09 0.11 0.16
ARHGEF2 2873 2476 3858 3795 2.39 2.46 1.85 1.68
ZMYM3 2732 2268 2889 2921 0.76 0.9 0.58 0.53
LRRFIP1 3976 3291 4600 4454 0.74 0.67 0.94 1.15
MTSS1L 4084 3476 5292 5471 2.05 1.95 1.64 1.57
CCPG1 228 215 154 144 1.46 1.35 1.88 1.79
MRRF 1494 1187 919 940 1.56 1.65 0.98 0.72
TIMM50 1898 1622 1312 1324 1.02 0.82 1.95 2.05
TIFA 135 130 72 95 2.57 2.14 3.24 2.73
BCL7B 621 529 767 773 1.85 1.72 1.27 1.36
COPB2 13158 10999 8897 8659 0.18 0.22 0.27 0.32
ZBTB22 451 377 719 810 2.03 2.19 1.66 1.56
CENPBD1 372 353 523 487 2.09 1.99 2.21 2.39
ADGRG1 5012 4464 5610 5354 2.19 2.17 1.92 1.97
SRSF11 4001 3539 4362 4396 1.33 1.27 2.01 2.08
COQ10A 272 205 159 155 1.53 1.78 0.61 0.87
ZNF561 599 492 426 432 2.26 2.12 2.64 2.66
COPS2 1773 1382 841 783 2.41 2.42 2.89 2.77
B4GALT5 2297 1985 1442 1478 1.95 1.92 2.01 1.88
SLC9A3R2 936 752 1232 1252 1.75 1.95 1.3 1.48
KIF3B 2492 2035 3770 3826 2.35 2.38 1.84 1.67
CIAO1 1636 1369 1281 1161 2.66 2.73 2.68 2.86
TGFBRAP1 341 276 388 430 1.65 1.4 2.01 2.06
HS6ST1 963 857 1933 2024 2.3 2.33 1.78 1.64
FOXP2 129 108 179 178 1.3 1.58 9.29 9.24
HTRA3 835 773 395 403 2.75 2.94 1.92 1.57
LENG9 118 129 195 201 3.05 2.87 1.8 1.67
NTN1 1045 976 1121 1223 1.36 1.26 0.82 0.8
MAP4K4 1974 1628 3052 3056 0.07 0.08 0.13 0.16
CHST3 517 471 660 659 1.85 2.03 2.35 2.45
MED20 462 383 271 280 3.81 3.82 2.55 2.4
PGS1 683 580 752 782 0.32 0.33 0.23 0.26
LITAF 1816 1526 974 1029 2.2 2.23 2.54 2.35
GOSR1 3327 2872 3350 3420 1.59 1.62 1.15 1.13
BAG4 355 293 197 215 2.15 2.15 2.49 2.25
BAG3 759 649 1069 1021 1.42 1.42 0.99 1.01
ENTPD2 190 186 348 391 1.89 2.29 1.64 0.93
RAB3D 913 827 1355 1353 2.59 2.31 1.87 1.73
ATP5J2 1534 1371 1115 1035 0.31 0.3 0.33 0.31
MRPL33 384 294 202 175 0.89 1.02 1.39 1.35
H6PD 1086 899 1316 1411 1.94 1.99 1.58 1.53
BCAR1 1552 1255 2253 2223 1.61 1.8 1.19 1.27
CLOCK 1142 921 804 807 1.24 1.44 0.66 0.89
CDC42BPB 3086 2750 4462 4417 1.98 1.68 1.02 1.31
KIF20B 1220 1059 837 808 1.23 1.2 1.9 1.55
CD44 3564 2991 2541 2580 0.78 0.65 1.1 1.03
NCOR2 6936 6143 12740 13256 1.51 1.61 0.87 0.62
TRAF4 1234 1038 1521 1521 2.22 2.26 1.82 1.74
MORF4L2 3607 3016 2984 2926 1.3 1.39 1.43 1.36
SH3PXD2A 2441 1980 2757 2785 0.74 0.8 0.63 0.65
MTFR1 612 468 424 444 0.45 0.71 0.73 0.78
MDC1 6869 5719 8701 8502 0.69 0.77 0.91 0.85
CD59 6678 5695 4439 4504 0.32 0.47 0.43 0.51
CD63 1755 1513 1432 1315 0.51 0.67 0.88 0.65
BZW1 3260 2671 1784 1684 0.07 0.13 0.24 0.21
UBE3C 2084 1726 1642 1613 1.33 1.27 0.66 0.72
RAPGEF2 1102 865 1378 1413 2.25 2.4 1.61 1.46
CEP57 1780 1518 1401 1464 0.64 0.4 0.93 1.05
AQR 1913 1614 1198 1257 0.81 0.89 1.15 0.67
UTP14C 890 700 1056 1015 1.47 1.32 1.78 1.59
ZNF646 661 613 1157 1233 0.97 0.91 1.15 0.94
RAB11FIP3 1065 926 1581 1675 1.33 1.49 0.85 0.68
KMT2B 1483 1324 1919 2081 1.77 1.95 1 0.89
ADGRE5 2306 1988 2701 2718 2.24 2.66 1.72 1.66
CD151 2034 1723 1439 1442 0.57 0.53 0.6 0.75
ATG13 1025 904 1161 1109 1.2 1.09 0.52 0.63
KIAA0232 1417 1204 1126 1102 1.51 1.37 1.69 1.84
TBC1D5 1509 1296 1621 1574 1.54 1.74 1.14 1.08
PIEZO1 11122 9841 14488 14734 0.98 1.57 0.21 0.23
MATR3 8195 6940 5612 5430 1.72 1.7 1.27 1.28
SPCS2 417 382 314 301 0.79 0.49 1.09 1.38
PTDSS1 1708 1450 1341 1283 1.55 1.59 1.49 1.66
IP6K1 1068 937 1722 1691 2.79 2.84 2.22 2.26
RNF40 2942 2573 4288 4216 1.76 1.59 0.81 0.97
CTIF 1752 1566 1781 1940 0.86 0.88 1.59 1.3
GIT2 912 842 1290 1251 1.65 1.65 1.09 1.1
RB1CC1 1684 1318 1127 1098 1.3 1.35 1.75 1.61
ARHGAP11A 3275 2752 2523 2504 1.89 1.96 2.24 2.03
RGP1 457 440 628 653 2.03 1.98 1.28 1.25
LCMT2 287 242 424 427 1.11 0.77 1.85 1.48
ZNF518A 192 124 102 110 1.26 0.47 3.63 3.38
PPP1R26 1985 1709 2428 2474 1.07 1.23 0.78 0.84
ZC3H11A 3939 3389 4143 3881 1.93 1.92 2.2 2.05
TBC1D4 1350 1056 1744 1603 2.34 2.71 2.87 2.56
NUAK1 933 846 1251 1216 1.84 1.68 1.4 1.44
TELO2 473 438 525 576 1.53 1.58 0.68 0.82
KLHL21 610 568 717 720 2.37 2.25 1.68 1.68
SEC16A 5974 5002 8558 8527 2.14 2.14 1.63 1.51
IQSEC1 1481 1265 1729 1756 2.5 2.33 1.91 1.97
ZBTB40 1367 1155 2006 1954 2.09 1.94 1.4 1.25
JOSD1 1274 1017 1399 1331 0.78 0.64 0.85 1.06
WDR1 5323 4465 6693 6676 0.71 0.6 0.27 0.29
CDC25C 630 570 496 440 1.22 1.01 1.61 1.68
CDC27 2535 2004 1794 1671 2.71 2.85 2.15 1.72
THRAP3 4480 3694 5245 5197 1.02 1.1 1.08 1.13
MED13 2113 1772 1000 1000 2.7 2.38 2.9 2.83
CDC34 863 781 1122 1095 2.15 2.09 1.21 1.41
DGCR2 1103 910 1922 1940 2.38 2.32 1.68 1.62
